Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-02-18,92.6155,92.865,91.3252,92.1718,582942.92
2019-02-19,92.1718,92.8272,91.2864,92.7117,555789.03
2019-02-20,92.9039,95.8883,92.9039,95.8883,1412822.16
2019-02-21,95.4456,96.2544,93.135,93.4049,1258490.05
2019-02-22,94.0019,96.1583,93.6553,95.3107,1585912.63
2019-02-25,95.9845,99.3981,95.9845,98.4854,1376415.78
2019-02-26,98.2039,99.3495,97.3786,98.6311,940043.92
2019-02-27,98.2913,98.9709,97,97.0485,869890.62
2019-02-28,96.8058,98.2039,95.9466,97.5243,773991.44
2019-03-01,98.1553,98.9709,97.3301,97.7184,441159.3
2019-03-04,97.7184,98.0583,96.1961,97.4272,282251.93
2019-03-05,96.8544,99.1165,96.8058,97.8155,556655.26
2019-03-06,97.7184,100.272,97.7184,100.078,581806.83
2019-03-07,100.029,100.029,97.6214,98.2039,398595.58
2019-03-08,97,97.6214,94.9447,95.1184,863492.26
2019-03-11,94.8485,97.0485,94.8485,95.8883,440343.54
2019-03-12,96.7573,97.9612,96.0233,97.8155,830150.13
2019-03-13,97.3786,98.2039,97.0874,97.6214,591977.05
2019-03-14,97.6214,98.1553,96.0039,97.1845,499473.78
2019-03-15,96.4184,98.2039,95.3301,97.3301,1386618.96
2019-03-18,97.8155,98.6796,97.0874,98.2039,727857.74
2019-03-19,98.2039,103.592,98.1553,101.903,1348662.43
2019-03-20,101.087,102.291,99.6893,101.806,367685.28
2019-03-21,102.049,103.204,101.476,102.291,463283.7
2019-03-22,101.903,102.34,99.2621,99.6408,711904.07
2019-03-25,99.165,101.233,98.534,99.5922,430173.32
2019-03-26,99.6408,101.039,99.6408,101.039,338846.31
2019-03-27,100.505,101.573,99.9806,100.553,332884.67
2019-03-28,100.602,101.854,100.602,101.282,285122.54
2019-03-29,101.951,103.786,101.903,103.01,1110590.29
2019-04-01,103.971,105.417,103.971,105.32,549855.2
2019-04-02,104.942,105.806,104.068,105.369,442079.09
2019-04-03,106,107.825,106,107.583,576489.97
2019-04-04,107.583,107.583,104.456,105.223,621992.28
2019-04-05,104.796,106.864,104.796,105.223,383558.61
2019-04-08,105.903,107.534,105.903,107.437,400145.73
2019-04-09,107.631,108.311,105.806,107.388,313185.92
2019-04-10,106.913,108.214,106.816,107.825,402846.39
2019-04-11,107.35,107.35,105.563,106.718,651442.04
2019-04-12,107.01,107.825,106.194,106.573,306792.71
2019-04-15,106.864,107.534,106,106.524,222929.08
2019-04-16,106.524,106.864,105.903,106.67,214991.9
2019-04-17,107.437,107.825,103.204,103.204,772731.75
2019-04-18,103.301,103.786,99.6893,103.204,675795.36
2019-04-23,103.058,104.553,101.951,103.738,268775.41
2019-04-24,103.738,104.699,102.388,103.204,635009.42
2019-04-25,102.485,102.583,99.7379,100.796,615892.62
2019-04-26,100.893,101.709,100.553,101.709,296932.52
2019-04-29,102.097,102.388,100.65,101.524,224890.2
2019-04-30,101.282,101.379,98.4854,99.0194,527911.05
2019-05-02,97,98.2427,95.7922,95.8311,587016.57
2019-05-06,95.3107,95.5029,93.2117,94.0786,497832.99
2019-05-07,94.4447,95.1573,91.8835,92.5573,557025.03
2019-05-08,92.5573,94.0786,92.0379,92.3262,464123.15
2019-05-09,91.8447,92.8466,88.2825,89.1874,644748.07
2019-05-10,89.4184,92.2689,89.4184,92.0757,536604.25
2019-05-13,91.7485,91.7485,88.0903,88.8029,714590.31
2019-05-14,89.4767,89.9194,88.2641,88.8796,591736.03
2019-05-15,89.6311,90.1893,88.6097,89.4573,274382.73
2019-05-16,91.1136,93.366,90.6709,93.2117,539756.05
2019-05-17,92.9039,92.9039,90.9019,91.3447,381853.96
2019-05-20,91.4602,91.7291,89.8427,90.5932,377556.8
2019-05-21,90.4971,91.9408,89.5728,91.9223,480520.75
2019-05-22,91.3641,92.2107,90.2466,91.1709,623896.75
2019-05-23,90.4971,90.9204,88.5718,88.6291,466360.31
2019-05-24,89.8233,92.2874,89.1689,90.7282,499931.1
2019-05-27,91.3641,92.2689,90.2466,91.3252,118592.14
2019-05-28,91.4602,92.2301,89.9194,91.133,1046245.16
2019-05-29,90.2087,91.0553,89.534,90.2087,595183.44
2019-05-30,89.8621,91.7485,89.8621,90.4583,621095.15
2019-05-31,89.6883,91.4602,88.668,91.4602,797191.16
2019-06-03,91.4602,93.6932,90.6515,92.5184,479095.23
2019-06-04,92.3262,93.5204,91.9408,93.2311,388611.79
2019-06-05,92.9806,93.2311,89.9194,90.035,620944.77
2019-06-06,90.5553,91.5563,90.2087,91.2291,316342.87
2019-06-07,91.4019,91.8835,89.0718,89.6311,631943.11
2019-06-10,90.2854,91.8835,89.534,91.8835,331714.59
2019-06-11,92.4223,95.2718,92.4223,94.9835,925471.48
2019-06-12,93.5971,95.2146,92.4417,95.2146,509934.46
2019-06-13,94.4447,96.1961,94.0786,96.1961,516778.81
2019-06-14,95.6379,96.0233,94.6757,94.7718,433093.37
2019-06-17,94.6175,96.1961,94.1748,96.0806,317967.18
2019-06-18,96.2544,100.32,95.3689,100.175,775608.54
2019-06-19,100.126,100.126,98.8252,99.1165,444555.21
2019-06-21,99.8835,101.951,98.7767,100.505,1218506.48
2019-06-24,100.505,100.65,98.5825,100.223,387728.05
2019-06-25,99.4951,101.951,99.165,100.417,384481.49
2019-06-26,100.417,100.893,98.8252,98.9223,339377.79
2019-06-27,98.9223,100.796,98.9223,100.078,276817.65
2019-06-28,99.6893,100.466,99.165,99.6408,340305.82
2019-07-01,101.573,102.728,99.5437,100.223,423236.27
2019-07-02,100.369,100.65,97.767,97.9126,372666.36
2019-07-03,97.8641,98.2039,95.9845,97.233,534544.25
2019-07-04,97.0874,97.4272,95.7922,96.5146,302271.01
2019-07-05,96.2738,96.2738,93.6359,94.5019,470145.56
2019-07-08,94.3485,96.1583,94.2709,95.3107,334143.33
2019-07-09,95.3107,95.3107,91.5951,92.2689,759913.4
2019-07-10,92.8078,94.0786,92.134,92.6155,738711.88
2019-07-11,93.5971,94.5796,91.6913,91.9408,537340.7
2019-07-12,92.4612,93.366,91.1709,91.1709,518730.66
2019-07-15,91.8641,93.0961,91.5757,91.7107,579455.34
2019-07-16,92.0951,92.7117,91.3825,92.0563,436954.84
2019-07-17,91.768,91.9602,90.3049,90.5553,757053.09
2019-07-18,90.4971,92.0757,89.7272,91.9408,1086720.04
2019-07-19,93.9049,94.5214,92.9039,93.6359,892525.9
2019-07-22,93.6932,94.0398,93,93.0388,359430.86
2019-07-23,93.867,94.3097,92.365,93.0388,523181.29
2019-07-24,93.366,93.4621,92.6155,93.1155,326552.23
2019-07-25,93.4816,95.1757,93.0583,93.867,545887.64
2019-07-26,93.3272,94.233,92.6155,92.9039,380539.68
2019-07-29,93.0583,93.5583,92.0757,92.9806,301531.47
2019-07-30,92.9806,93.2505,90.8631,90.8631,378493.07
2019-07-31,90.8631,91.3825,90.1893,90.8825,548390.54
2019-08-01,90.7476,90.7476,86.935,87.9553,731794.4
2019-08-02,86.6466,87.1854,84.2583,84.5087,1181058.77
2019-08-05,83.7194,83.7583,80.8893,80.8893,1080324.77
2019-08-06,81.4476,82.468,80.4845,80.6,737079.33
2019-08-07,80.9272,81.2738,79.233,80.3689,594531.45
2019-08-08,82.4097,82.7951,80.2922,80.8893,873799.47
2019-08-09,81.2738,81.6204,78.9447,79.1942,434826.86
2019-08-12,80.2728,80.2728,76.3447,76.3447,649667.35
2019-08-13,76.0563,79.8107,75.6709,79.7913,839364.51
2019-08-14,80.6,80.6,76.3252,76.3252,634753.98
2019-08-16,76.3252,76.6718,72.1087,72.1087,868686.55
2019-08-19,73.3602,75.132,73.0524,74.9777,574508.25
2019-08-20,75.0932,75.3825,72.5515,74.1311,574218.82
2019-08-21,75.0738,75.1893,71.7243,72.1087,893523.97
2019-08-22,71.8204,73.7262,70.8573,71.9932,825521.31
2019-08-23,72.9942,74.0534,71.8583,72.8214,797435.27
2019-08-26,71.666,72.1087,69.7019,71.0117,585102.83
2019-08-27,71.2427,72.9563,70.434,72.2825,1122401.3
2019-08-28,72.7825,72.7825,69.9524,71.0117,656749.63
2019-08-29,71.0495,73.1291,71.0495,72.6864,565889.21
2019-08-30,73.168,75.5553,72.7825,75.4019,794423.55
2019-09-02,75.4786,75.5553,74.0534,74.7272,487909.97
2019-09-03,74.5155,74.5738,70.4913,71.1272,1099041.93
2019-09-04,72.4942,74.4388,72.2049,74.2845,1030611.82
2019-09-05,74.7466,75.7476,73.4379,75.3437,707723.3
2019-09-06,75.5359,77.4233,74.8816,76.4796,842256.75
2019-09-09,76.499,77.5777,76.0563,77.4233,647866.91
2019-09-10,77.8466,77.8466,76.3252,77,553765.08
2019-09-11,77.365,77.9049,76.3447,76.6146,434228.43
2019-09-12,77.8854,79.8495,77.1534,78.6553,1075091.34
2019-09-13,78.9447,81.1204,78.9447,81.1204,724768.77
