Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-07-19,72.494,72.494,69.578,69.692,307502
2018-07-20,69.862,71.131,69.199,70.619,249346
2018-07-23,70.998,71.453,70.279,70.771,114405
2018-07-24,70.771,73.743,70.771,73.081,458283
2018-07-25,72.891,75.258,71.964,74.406,207001
2018-07-26,74.122,76.678,74.122,75.485,205631
2018-07-27,76.678,76.735,75.428,76.318,82951
2018-07-30,75.94,76.28,73.838,76.167,231286
2018-07-31,75.334,76.148,74.311,74.69,235881
2018-08-01,75.258,75.258,73.857,75.258,107566
2018-08-02,74.785,74.823,73.081,73.649,97352
2018-08-03,73.649,74.406,72.854,72.891,44390
2018-08-06,73.213,74.709,72.399,74.709,79102
2018-08-07,75.258,76.034,74.387,74.633,173586
2018-08-08,74.595,75.921,73.554,73.819,96650
2018-08-09,73.403,74.292,73.194,73.857,51690
2018-08-10,73.365,74.198,72.058,72.986,128300
2018-08-13,72.721,72.816,71.547,71.699,88414
2018-08-14,72.229,74.273,72.134,74.273,65667
2018-08-16,71.945,74.728,70.847,71.187,207892
2018-08-17,71.206,72.02,70.525,70.525,182789
2018-08-20,70.638,71.547,70.506,71.282,98847
2018-08-21,71.282,72.456,70.146,71.358,116154
2018-08-22,70.714,72.361,70.638,71.623,138577
2018-08-23,71.055,72.229,70.619,71.699,124948
2018-08-24,71.945,72.607,70.051,70.051,234174
2018-08-27,71.945,79.007,71.945,76.583,351348
2018-08-28,76.867,76.867,74.709,74.879,245090
2018-08-29,75.731,75.731,74.33,74.785,271311
2018-08-30,74.747,75.258,73.895,73.895,116126
2018-08-31,73.933,74.008,72.437,72.891,166559
2018-09-03,72.872,74.747,72.418,72.418,74147
2018-09-04,72.456,73.819,71.736,72.57,162718
2018-09-05,72.57,72.797,70.43,70.43,193259
2018-09-06,70.525,71.187,69.862,69.862,184240
2018-09-07,69.862,70.487,63.614,64.599,532978
2018-09-10,64.372,64.675,57.934,59.638,522332
2018-09-11,60.169,62.914,60.112,62.914,396529
2018-09-12,64.258,64.826,62.251,64.58,349430
2018-09-13,64.58,65.981,64.372,65.034,232673
2018-09-14,65.508,65.792,63.425,64.504,139292
2018-09-17,63.936,64.372,62.289,62.592,188560
2018-09-18,62.687,64.258,62.687,62.857,237944
2018-09-19,63.425,64.372,61.986,63.217,353204
2018-09-20,62.971,65.375,62.971,64.807,406339
2018-09-21,65.015,66.17,64.372,65.053,1910572
2018-09-24,64.58,66.719,63.633,64.675,151027
2018-09-25,65.224,65.508,64.05,64.239,68830
2018-09-26,64.372,67.609,64.372,64.959,288060
2018-09-27,64.94,65.792,63.766,64.807,211214
2018-09-28,64.769,64.769,62.1,62.668,156141
2018-10-01,63.179,65.318,62.724,64.088,142245
2018-10-02,63.425,64.788,63.046,64.372,118795
2018-10-03,64.75,66.909,64.466,66.246,203522
2018-10-04,65.318,65.792,62.99,63.311,216008
2018-10-05,63.501,64.807,62.952,63.614,201632
2018-10-08,63.709,64.277,62.062,62.062,135167
2018-10-09,61.721,63.463,61.134,62.27,191027
2018-10-10,63.084,63.898,62.119,63.387,230468
2018-10-11,61.532,62.478,60.774,61.721,139855
2018-10-12,62.762,64.466,62.289,62.762,277120
2018-10-15,62.762,63.804,62.478,62.952,86264
2018-10-16,63.236,65.432,63.103,64.599,248989
2018-10-17,65.318,67.022,65.318,67.003,259947
2018-10-18,67.022,67.022,64.561,66.322,286597
2018-10-19,66.322,67.212,65.47,67.193,217835
2018-10-22,67.306,68.101,66.17,68.045,321957
2018-10-23,65.527,66.265,64.996,65.602,343823
2018-10-24,65.981,66.246,65.129,65.678,211812
2018-10-25,65.034,65.602,63.898,65.451,209182
2018-10-26,64.75,65.64,64.107,64.959,171485
2018-10-29,65.318,65.489,64.05,64.372,156485
2018-10-30,64.996,67.59,64.731,67.212,227668
2018-10-31,67.552,70.051,67.212,70.051,378201
2018-11-02,70.525,72.872,70.525,71.964,539197
2018-11-05,71.945,75.58,71.566,74.898,396600
2018-11-06,75.258,75.637,73.554,74.785,193647
2018-11-07,74.027,74.974,73.838,74.406,145215
2018-11-08,74.785,75.637,73.838,74.444,187887
2018-11-09,73.857,73.876,71.282,71.85,139889
2018-11-13,71.093,73.592,69.105,69.162,258689
2018-11-14,68.272,73.384,68.026,73.175,162521
2018-11-15,73.365,75.712,72.626,72.626,184429
2018-11-16,72.399,74.255,71.301,73.213,196126
2018-11-19,72.626,74.917,72.172,73.422,191042
2018-11-20,72.891,73.743,70.752,71.206,166586
2018-11-21,71.187,73.043,70.847,72.304,166752
2018-11-22,72.835,73.762,71.471,72.361,110775
2018-11-23,72.513,72.872,67.78,68.688,301758
2018-11-26,69.559,69.767,63.425,63.709,400017
2018-11-27,63.898,64.637,60.964,61.532,528097
2018-11-28,62.005,62.952,61.342,62.27,436978
2018-11-29,62.63,64.182,62.63,63.52,277240
2018-11-30,63.425,63.709,62.081,62.1,415654
2018-12-03,65.602,65.754,64.391,64.94,323785
2018-12-04,65.224,67.439,64.466,67.401,304706
2018-12-05,66.246,67.836,65.451,67.817,222832
2018-12-06,67.212,67.306,64.561,64.996,266329
2018-12-07,65.754,66.227,64.258,64.959,142745
2018-12-10,64.845,64.845,62.478,62.478,118355
2018-12-11,63.179,64.58,62.535,62.535,183455
2018-12-12,63.046,63.652,62.138,62.762,448858
2018-12-13,63.425,63.595,62.403,63.046,337970
2018-12-14,62.478,63.425,62.138,63.387,180298
2018-12-17,62.857,63.425,62.573,62.876,57063
2018-12-18,62.762,65.129,62.762,64.163,193786
2018-12-19,64.618,65.394,63.917,64.864,241960
2018-12-20,64.466,65.015,62.895,63.69,239374
2018-12-21,63.33,63.728,61.532,62.706,392791
2018-12-27,63.652,63.709,62.592,62.687,109169
2018-12-28,63.179,63.709,62.611,63.671,98904
2019-01-02,63.501,63.898,62.497,63.52,88929
2019-01-03,63.33,64.845,61.835,62.365,199934
2019-01-04,62.724,64.258,62.232,64.258,168047
2019-01-07,64.258,65.148,63.709,64.637,116702
2019-01-08,64.353,65.11,63.463,64.031,124781
2019-01-09,63.652,63.898,62.497,63.217,313692
2019-01-10,63.217,63.217,61.835,62.611,215711
2019-01-11,63.008,63.879,61.57,62.384,218762
2019-01-14,62.384,63.33,61.683,61.778,168757
2019-01-15,62.194,62.952,61.778,62.554,207389
2019-01-16,62.573,62.611,60.112,61.096,308474
2019-01-17,61.058,62.365,61.058,61.854,111012
2019-01-18,62.062,63.917,62.024,63.898,259267
