Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-10-04,55.874,57.2776,55.3127,56.4352,8190.2201832276
2018-10-05,55.9677,56.1551,55.6866,55.7803,6199.9266053088
2018-10-08,55.4992,55.7803,55.4064,55.7803,2284.1834861664
2018-10-09,55.9677,56.0614,55.7803,55.9677,2142.9908256204
2018-10-10,56.1551,56.1551,55.5929,55.9677,3106.238532012
2018-10-11,55.6866,55.9677,53.3469,54.283,18823.596329681
2018-10-12,55.219,55.6866,54.3767,55.6866,6623.5045869468
2018-10-15,55.219,56.1551,55.219,55.9677,4007.7798163872
2018-10-16,55.7803,55.874,55.219,55.6866,57026.14678719
2018-10-17,55.6866,56.0614,55.4064,55.6866,2829.082568718
2018-10-18,56.1551,56.1551,53.9081,54.283,8284.3486235916
2018-10-19,53.628,54.283,53.5343,54.283,1636.788990774
2018-10-22,54.1893,54.283,53.7217,54.0956,4308.990825552
2018-10-23,53.3469,54.8442,52.037,53.0658,10541.339449208
2018-10-24,52.8793,52.8793,51.8496,52.5045,5588.0917429428
2018-10-25,52.8793,52.8793,51.4748,52.3171,13386.11009132
2018-10-26,52.3171,52.3171,50.5397,51.0072,6562.84403649
2018-10-29,50.6324,51.0072,49.7901,50.3523,31357.321099927
2018-10-30,49.6973,50.3523,49.6036,50.3523,3307.0458714552
2018-10-31,50.2586,50.3523,50.2586,50.3523,4452.2752292172
2018-11-02,50.446,52.4108,50.2586,51.1009,20869.321100258
2018-11-05,51.0072,51.0072,50.3523,50.5397,10827.908256539
2018-11-06,50.6324,52.973,50.2586,52.8793,4787.9999998488
2018-11-07,52.8793,54.5641,52.3171,54.5641,5588.0917429428
2018-11-08,54.6568,54.6568,53.2532,54.283,6234.4403667756
2018-11-09,54.1893,54.283,52.8793,54.283,4870.6238530572
2018-11-13,53.4406,54.1893,53.4406,53.8144,1566.7155962808
2018-11-14,54.8442,54.8442,53.8144,54.0019,1953.6880733328
2018-11-15,54.0019,54.0019,52.5045,53.2532,6576.4403667648
2018-11-16,53.3469,53.3469,52.8793,53.3469,10787.119265714
2018-11-19,52.8793,53.3469,52.6919,53.0658,5319.3027521256
2018-11-20,52.8793,53.3469,52.4108,53.3469,4362.3302750916
2018-11-21,53.0658,53.4406,51.6622,53.3469,6516.8256878676
2018-11-22,53.2532,53.4406,52.7856,53.3469,6244.8990823716
2018-11-23,52.8793,53.1595,52.3171,52.8793,458.0917431048
2018-11-26,50.5397,52.7856,50.5397,51.382,3649.0458714444
2018-11-27,52.1307,52.4108,51.1009,52.4108,3746.3119264872
2018-11-28,52.4108,52.7856,49.7901,50.5397,13153.926605089
2018-11-29,51.1946,51.1946,49.7901,50.5397,8113.8715593768
2018-11-30,50.5397,52.4108,50.1649,52.037,7378.623852978
2018-12-03,51.6622,53.1595,51.4748,52.8793,4555.8165136176
2018-12-04,52.4108,53.1595,52.037,52.2234,7007.33944932
2018-12-05,50.9135,52.5982,50.9135,52.3171,1047.9633027192
2018-12-06,52.2234,52.2234,50.8198,51.4748,4811.00917416
2018-12-07,52.2234,52.3171,50.3523,50.7261,5910.2201832996
2018-12-10,50.2586,51.2883,50.2586,51.1946,2471.3944953348
2018-12-11,51.4748,51.4748,49.7901,50.0712,9433.761467592
2018-12-12,50.0712,51.4748,50.0712,51.4748,4183.4862384
2018-12-13,50.5397,53.3469,50.5397,52.7856,8781.1376144016
2018-12-14,52.7856,53.2532,51.5685,53.1595,3850.8990824472
2018-12-17,50.6324,53.0658,50.6324,52.4108,4160.4770640888
2018-12-18,51.9433,52.4108,50.8198,51.4748,8303.1743116644
2018-12-19,51.0072,51.9433,50.446,50.6324,8236.23853185
2018-12-20,50.446,50.446,49.4162,49.4162,7197.6880731672
2018-12-21,49.4162,49.9775,47.3567,48.5738,17114.642201294
2018-12-27,48.6675,49.1351,47.7315,48.2927,6586.8990823608
